26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

 147     4,1     0,4     0,8     5,2    10,9    14,6    14,1     9,8
 148     3,9     0,3     0,9     5,3    11,1    14,7    14,1     9,6
 149     3,8     0,2     0,9     5,5    11,2    14,7    14,0     9,5
 150     3,6     0,2     1,1     5,6    11,3    14,8    14,0     9,3
 151     3,5     0,2     1,1     5,8    11,4    14,8    13,9     9,2
 152     3,4     0,1     1,2     5,9    11,5    14,8    13,8     9,1
 153     3,3     0,1     1,3     6,0    11,6    14,8    13,8     8,9
 154     3,2     0,1     1,4     6,2    11,8    14,9    13,6     8,7
 155     3,1     0,1     1,4     6,4    11,9    14,9    13,5     8,6
 156     2,9     0,1     1,5     6,5    12,0    14,9    13,4     8,5
 157     2,8     0,0     1,6     6,6    12,1    14,9    13,4     8,4
 158     2,7     0,0     1,7     6,8    12,2    14,9    13,3     8,1
 159     2,6     0,0     1,8     6,9    12,4    14,9    13,2     8,0
 160     2,5     0,0     1,9     7,1    12,5    14,9    13,1     7,9
 161     2,4     0,0     2,0     7,2    12,6    14,9    12,9     7,8
 162     2,2     0,0     2,1     7,4    12,7    14,9    12,8     7,5
 163     2,2     0,0     2,2     7,5    12,8    15,1    12,8     7,4
 164     2,1     0,0     2,3     7,6    12,9    14,9    12,7     7,3
 165     1,9     0,0     2,4     7,8    13,1    14,9    12,6     7,2
 166     1,8     0,0     2,5     8,0    13,2    14,9    12,5     6,9
 167     1,8     0,0     2,6     8,1    13,2    14,9    12,4     6,8
 168     1,6     0,0     2,8     8,2    13,3    14,9    12,2     6,7
 169     1,6     0,1     2,9     8,4    13,4    14,9    12,1     6,6
 170     1,5     0,1     3,0     8,6    13,5    14,9    12,0     6,4
 171     1,4     0,1     3,1     8,7    13,6    14,9    11,9     6,2
 172     1,3     0,1     3,2     8,8    13,6    14,8    11,8     6,1
 173     1,2     0,1     3,4     8,9    13,8    14,8    11,6     6,0
 174     1,1     0,2     3,5     9,2    13,9    14,8    11,5     5,8
 175     1,1     0,2     3,6     9,3    13,9    14,8    11,4     5,6
 176     1,0     0,2     3,7     9,4    14,0    14,7    11,3     5,5
 177     0,9     0,3     3,9     9,5    14,1    14,7    11,1     5,4
 178     0,8     0,3     4,0     9,8    14,1    14,7    10,9     5,3
 179     0,8     0,4     4,1     9,9    14,2    14,6    10,8     5,1
 180     0,7     0,4     4,2    10,0    14,2    14,6    10,7     4,9
 181     0,6     0,5     4,4    10,1    14,4    14,5    10,6     4,8
 182     0,6     0,5     4,5    10,2    14,4    14,5    10,5     4,7
 183     0,5     0,6     4,6    10,4    14,5    14,4    10,4     4,6
 184     0,5     0,6     4,8    10,6    14,5    14,4    10,1     4,5
 185     0,4     0,7     4,9    10,7    14,6    14,2    10,0     4,2
 186     0,4     0,8     5,1    10,8    14,6    14,2     9,9     4,1
 187     0,4     0,8     5,2    10,9    14,7    14,1     9,8     4,0
 188     0,3     0,9     5,4    11,1    14,7    14,1     9,6     3,9
 189     0,2     0,9     5,5    11,2    14,7    14,0     9,5     3,8
 190     0,2     1,1     5,6    11,3    14,8    14,0     9,3     3,6
 191     0,2     1,1     5,8    11,4    14,8    13,9     9,2     3,5
 192     0,1     1,2     5,9    11,5    14,8    13,8     9,1     3,4
 193     0,1     1,3     6,1    11,6    14,8    13,6     8,9     3,3
 194     0,1     1,4     6,2    11,8    14,9    13,6     8,7     3,2
 195     0,1     1,5     6,4    11,9    14,9    13,5     8,6     3,1
 196     0,1     1,5     6,5    12,1    14,9    13,4     8,5     2,9
 197     0,0     1,6     6,6    12,1    14,9    13,4     8,4     2,8
 198     0,0     1,7     6,8    12,2    14,9    13,3     8,1     2,7
 199     0,0     1,8     6,9    12,4    14,9    13,2     8,0     2,6
 200     0,0     1,9     7,1    12,5    14,9    13,1     7,9     2,5
 201     0,0     2,0     7,2    12,6    14,9    12,9     7,8     2,4
 202     0,0     2,1     7,4    12,7    14,9    12,8     7,5     2,2
 203     0,0     2,2     7,5    12,8    15,1    12,7     7,4     2,1
 204     0,0     2,3     7,7    12,9    14,9    12,7     7,3     2,0
 205     0,0     2,4     7,8    13,1    14,9    12,6     7,2     1,9
 206     0,0     2,5     8,0    13,2    14,9    12,5     6,9     1,8
 207     0,0     2,6     8,1    13,2    14,9    12,4     6,8     1,8
 208     0,0     2,8     8,3    13,3    14,9    12,2     6,7     1,6
 209     0,1     2,9     8,4    13,4    14,9    12,1     6,6     1,5
 210     0,1     3,0     8,6    13,5    14,9    12,0     6,4     1,4
 211     0,1     3,1     8,7    13,6    14,9    11,9     6,2     1,4
 212     0,1     3,2     8,9    13,6    14,8    11,8     6,1     1,3
 213     0,1     3,4     9,0    13,8    14,8    11,6     6,0     1,2
 214     0,2     3,5     9,2    13,9    14,8    11,5     5,8     1,1
 215     0,2     3,6     9,3    13,9    14,8    11,4     5,6     1,1
 216     0,2     3,8     9,4    14,0    14,7    11,2     5,5     0,9
 217     0,3     3,9     9,6    14,1    14,7    11,1     5,4     0,9
 218     0,3     4,0     9,7    14,1    14,7    10,9     5,3     0,8
 219     0,4     4,1     9,9    14,2    14,6    10,8     5,1     0,7
 220     0,4     4,2    10,0    14,2    14,6    10,7     4,9     0,7
 221     0,5     4,4    10,1    14,4    14,5    10,6     4,8     0,6
 222     0,5     4,5    10,3    14,4    14,5    10,5     4,7     0,6
